"Sunrise,+FL",162
Illinois,161
"Somerville,+MA",160
Ohio,160
"Westborough,+MA",160
"White+Plains,+NY",159
"Brooklyn+Park,+MN",159
"Longmont,+CO",159
"Piscataway,+NJ",159
"Hayward,+CA",158
"San+Carlos,+CA",158
"South+Jordan,+UT",158
"New+Brunswick,+NJ",158
"North+Charleston,+SC",157
"Germantown,+MD",156
"Los+Gatos,+CA",156
"Downers+Grove,+IL",155
"Mechanicsburg,+PA",155
"Carrollton,+TX",155
"Erie,+PA",153
"Aliso+Viejo,+CA",153
"Somerset,+NJ",150
"Golden,+CO",150
"Kennesaw,+GA",149
"Appleton,+WI",148
"Menomonee+Falls,+WI",148
"Glen+Allen,+VA",147
"Mobile,+AL",147
"Frederick,+MD",145
"East+Hartford,+CT",145
"Newton,+MA",145
United+States,144
"Evanston,+IL",144
Pennsylvania,143
"West+Des+Moines,+IA",142
"Minneapolis-Saint+Paul,+MN",142
"Lisle,+IL",142
"Issaquah,+WA",141
"Northridge,+CA",141
"Norwalk,+CT",140
"Sierra+Vista,+AZ",140
"Beavercreek,+OH",140
"Riverwoods,+IL",139
"Tysons,+VA",138
"Lancaster,+PA",136
"Stanford,+CA",136
"Mooresville,+NC",135
"Ogden,+UT",135
"Secaucus,+NJ",134
"Scott+AFB,+IL",134
"Tarrytown,+NY",134
"Santa+Barbara,+CA",134
"Rockford,+IL",133
"Edgewood,+MD",132
"Maplewood,+MN",132
"Farmington,+CT",132
North+Carolina,132
"Moorestown,+NJ",132
"Bolingbrook,+IL",132
"Redondo+Beach,+CA",132
"Lake+Forest,+CA",132
"Richland,+WA",131
"Palm+Bay,+FL",131
"Burlingame,+CA",130
"Coral+Gables,+FL",130
"Alameda,+CA",130
"Louisville,+CO",130
"Hill+AFB,+UT",130
"Wilmington,+NC",130
"Dahlgren,+VA",130
"Plantation,+FL",129
"Kalamazoo,+MI",129
"Canonsburg,+PA",127
"Livermore,+CA",126
"Conshohocken,+PA",126
